267	ICBIBANK	2.9	3	2.8	2.9	2.8	0.1	55	0.8680	294,831
268	LRBDL	13.6	13.7	13.5	13.6	13.6	0	72	0.8650	63,675
269	PROVATIINS	27.3	29.2	27.1	27.3	27.4	-0.1	103	0.8630	31,741
270	UNIONINS	25.4	26	25.3	25.4	25.9	-0.5	108	0.8400	32,932
271	REPUBLIC	24.5	26	24.4	24.5	25	-0.5	56	0.8380	33,596
272	ALIF	5.7	5.8	5.6	5.7	5.8	-0.1	112	0.8240	143,928
273	GENNEXT	2.7	2.8	2.7	2.7	2.7	0	51	0.7810	288,850
274	ANLIMAYARN	21.6	22.8	21.6	21.9	22.4	-0.8	34	0.7690	34,205
275	ASIAINS	24	24.9	24	24	23.9	0.1	43	0.7690	31,900
276	DSHGARME	59	61.6	59	59.6	61.5	-2.5	134	0.7670	12,633
277	SANDHANINS	17.5	17.8	17.5	17.5	17.6	-0.1	97	0.7650	43,395
278	FAMILYTEX	2.3	2.3	2.2	2.2	2.3	0	111	0.7600	343,568
279	ATLASBANG	59.2	60.1	58.5	58.7	60.4	-1.2	102	0.7260	12,251
280	PENINSULA	10.6	11	10.6	10.6	10.6	0	49	0.7230	67,465
281	NAVANACNG	18.4	18.9	18.1	18.5	18.6	-0.2	79	0.7150	38,707
282	FEDERALINS	17.2	17.5	17.2	17.2	17.4	-0.2	40	0.7030	40,648
283	RELIANCINS	49.4	50.4	48.5	48.7	49.1	0.3	110	0.6810	13,805
284	PADMALIFE	19.3	20.4	19.1	19.3	19.8	-0.5	42	0.6760	34,923
285	IBNSINA	280.9	285	280	280.9	280.9	0	57	0.6110	2,174
286	APEXTANRY	61.7	63.8	61.7	62.6	63.3	-1.6	58	0.5770	9,212
287	UNIONCAP	4.3	4.4	4.2	4.2	4.3	0	104	0.5620	131,918
288	SHURWID	6.4	6.5	6.3	6.4	6.5	-0.1	45	0.5450	85,464
289	RSRMSTEEL	9.7	10	9.7	9.8	9.9	-0.2	44	0.5400	55,297
290	SSSTEEL	5.6	5.7	5.5	5.6	5.5	0.1	91	0.5370	96,350
291	RINGSHINE	3.2	3.3	3.1	3.2	3.2	0	66	0.5160	161,364
292	ASIAPACINS	28.2	30.1	27.7	27.7	28.1	0.1	48	0.5120	18,294
293	BGIC	28	29.2	27.9	28	28.4	-0.4	90	0.5110	18,149
